source,f1_macro,balanced_acc,auroc
Android_2k,0.6204594673036994,0.9655521783181358,0.9929857376665888
Apache_2k,0.4675798192892143,0.5196235350060481,0.9393069994938471
BGL_2k,0.6373864382527906,0.6366448326055313,0.8880695700769391
Hadoop_2k,0.37843233513336605,0.5225965261643987,0.5864066821551056
HealthApp_2k,0.48530690314727876,0.9162895927601811,0.9924585218702866
HPC_2k,0.3063376958891317,0.3915477275027837,0.3457035125012653
Linux_2k,0.049429657794676805,0.02728226652675761,0.009527583666361545
Mac_2k,0.4793696914223274,0.48930157359276416,0.6045642590908622
Proxifier_2k,0.9893729509721093,0.998949027850762,1.0
Spark_2k,0.5525812863927186,0.973644578313253,0.995983935742972
Thunderbird_2k,0.7164445822555507,0.8132111655657361,0.9239903402230272
Windows_2k,0.3708816114926873,0.47751953061687574,0.9264345892949947
Zookeeper_2k,0.5333709255592483,0.5504435692926457,0.8723415954878476
