source,f1_macro,balanced_acc,auroc
Android_2k,0.45843487679393446,0.4288247213779129,0.03567531759021121
Apache_2k,0.24414210128495842,0.22603219034289712,0.0
BGL_2k,0.6475688121894201,0.6332007693907258,0.7994889140153878
Hadoop_2k,0.7054292293723567,0.7751908396946565,0.9972419515433123
HealthApp_2k,0.48320413436692505,0.4700854700854701,0.0
HPC_2k,0.299229152067274,0.3846846846846847,0.051060836117015895
Linux_2k,0.048157232401930136,0.5015739769150053,0.7443013105311335
Mac_2k,0.5856536727658446,0.577305305293503,0.6923542875502388
Proxifier_2k,0.7723376674125156,0.7182338250510588,0.9422073665563326
Spark_2k,0.9704627017766685,0.9997489959839357,1.0
Thunderbird_2k,0.8964576002799216,0.9759002770083103,1.0
Windows_2k,0.4218021561771562,0.519642504227146,0.8331686393347826
Zookeeper_2k,0.3516588008479382,0.3622722583280527,0.028145964147870375
