Test Source,F1-Macro,Balanced Acc,AUROC,MCC
Spark_2k,0.49899799599198397,0.5,0.9650790662650602,0.0
HealthApp_2k,0.4986212083228879,0.5,0.3180218474336121,0.0
Android_2k,0.4967287367891293,0.5,0.5884381575870938,0.0
Proxifier_2k,0.4875736612861901,0.5,0.5049677394889241,0.0
BGL_2k,0.4780793319415449,0.5,0.38597226554377206,0.0
Thunderbird_2k,0.4743758212877792,0.5,0.5017004048582996,0.0
Mac_2k,0.43930473787496493,0.5,0.47746167711356186,0.0
Zookeeper_2k,0.42627653471026966,0.5,0.5166875271666553,0.0
Apache_2k,0.41673957421988916,0.5,0.2278551986067927,0.0
Windows_2k,0.37675288251791833,0.5,0.47839528441869295,0.0
HPC_2k,0.35691318327974275,0.5,0.5120487903633971,0.0
Hadoop_2k,0.25650557620817843,0.5,0.6639727846000664,0.0
Linux_2k,0.044890162368672396,0.5,0.7977579201178808,0.0
