source,f1_macro,balanced_acc,auroc
Android_2k,0.4859240789587626,0.49717481100459826,0.5843075364351961
Apache_2k,0.23547400611620795,0.21553533939818054,0.0
BGL_2k,0.5856947430134845,0.6104439592430859,0.8663508525681015
Hadoop_2k,0.5659563765876059,0.6732824427480916,0.9781214736143379
HealthApp_2k,0.48691636736788096,0.477124183006536,0.0
HPC_2k,0.35275080906148865,0.49099099099099097,0.0028909808685089597
Linux_2k,0.049242048547764816,0.5020986358866737,0.9234890937911634
Mac_2k,0.5164620640462515,0.5266642692601888,0.7377389607537682
Proxifier_2k,0.6610251567758649,0.6030927835051546,0.9772361599427924
Spark_2k,0.5515192286130732,0.6184738955823292,0.9318524096385543
Thunderbird_2k,0.9915918339891703,0.9983379501385041,0.9999971588891255
Windows_2k,0.834144435205002,0.8173904314355356,0.8405333366794971
Zookeeper_2k,0.3200556549393759,0.31516593262145787,0.0680789836135972
