source,f1_macro,balanced_acc,auroc
Android_2k,0.7908533184606805,0.9908814589665653,1.0
Apache_2k,0.23954372623574144,0.22043386983904828,0.0007402332715246691
BGL_2k,0.9967683452958418,0.9994541484716157,1.0
Hadoop_2k,0.47984207613637625,0.6076833720544308,0.6305841354132093
HealthApp_2k,0.49647532729103727,0.49572649572649574,0.7586726998491704
HPC_2k,0.7141871834344945,0.7195414515639235,0.8544225124000404
Linux_2k,0.020088192062714356,0.21808510638297873,0.001127458641244892
Mac_2k,0.4698662653269704,0.4703217781288734,0.5108421234143588
Proxifier_2k,0.9973044913912195,0.9997372569626906,1.0
Spark_2k,0.7261754638803819,0.9952309236947792,0.9967996987951807
Thunderbird_2k,0.9971458254843535,0.9948717948717949,0.999982953334754
Windows_2k,0.9968629714561772,0.9968629714561772,0.998833025381698
Zookeeper_2k,0.46274532637658855,0.47187367439814404,0.6316194992432614
