source,f1_macro,balanced_acc,auroc
Android_2k,0.4745139253809774,0.4574468085106383,0.07084404956745383
Apache_2k,0.24953095684803,0.23268019594121764,0.35157403742099785
BGL_2k,0.5782096622432756,0.5867384071532543,0.5912465559367851
Hadoop_2k,0.4917573433437662,0.6248091603053435,0.9899966810487888
HealthApp_2k,0.4008388256440983,0.33634992458521873,0.0
HPC_2k,0.3006993006993007,0.38738738738738737,0.05331612511387795
Linux_2k,0.06368517202095123,0.5091815320041972,0.7198376906074881
Mac_2k,0.6005306711817695,0.5892933202262012,0.5801615596504699
Proxifier_2k,0.821859033642111,0.9655183622170095,0.9934720544338563
Spark_2k,0.47780678851174935,0.45933734939759036,0.0018197791164658722
Thunderbird_2k,0.9929455800884766,0.9963278641949003,0.9960821081042687
Windows_2k,0.8701631235966264,0.8538108099912267,0.9981481074829632
Zookeeper_2k,0.36541220615826064,0.3820508926373782,0.11446915700886613
