Test Source,Best Model,Strategy,F1-Macro,Balanced Acc,AUROC,AUPRC,MCC,Train Samples,Test Samples,Minority Samples,Imbalance Ratio
Proxifier_2k,CNN_ATTENTION,balanced,0.9973044913912195,0.9997372569626906,1.0,0.9999999999999999,0.9946234435179628,19200,2000,5458,2.5177720776841332
Thunderbird_2k,CNN_ATTENTION,balanced,0.9971458254843535,0.9948717948717949,0.999982953334754,0.9998445918761784,0.9943078671853304,19200,2000,5380,2.5687732342007434
Windows_2k,CNN_ATTENTION,balanced,0.9968629714561772,0.9968629714561772,0.998833025381698,0.9965947025602208,0.9937259429123546,19200,2000,4903,2.9159698143993475
BGL_2k,CNN_ATTENTION,balanced,0.9967683452958418,0.9994541484716157,1.0,1.0,0.9935574641792252,19200,2000,5402,2.5542391706775267
Android_2k,CNN_ATTENTION,balanced,0.7908533184606805,0.9908814589665653,1.0,1.0,0.6416440057391561,19200,2000,5515,2.4814143245693563
Spark_2k,STACKED_AE,balanced,0.7620275254828859,0.8109939759036144,0.9863830321285141,0.45272210654173173,0.5308329818021044,19200,2000,5530,2.4719710669077757
HPC_2k,CNN_ATTENTION,balanced,0.7141871834344945,0.7195414515639235,0.8544225124000404,0.8611995431455401,0.541998303564426,19200,2000,4824,2.9800995024875623
Mac_2k,TABNET,balanced,0.6005306711817695,0.5892933202262012,0.5801615596504699,0.367064021480576,0.23554473260180492,19200,2000,5190,2.699421965317919
Hadoop_2k,FLNN,moderate_imbalance,0.5659563765876059,0.6732824427480916,0.9781214736143379,0.9876955807407742,0.3932892531021797,19200,2000,4488,3.27807486631016
Zookeeper_2k,VAE,balanced,0.5337109698811826,0.5507800430476928,0.875221915569963,0.5689666836459102,0.2017278382847041,19200,2000,5125,2.7463414634146344
HealthApp_2k,CNN_ATTENTION,balanced,0.49647532729103727,0.49572649572649574,0.7586726998491704,0.0128799642652862,-0.006885604195875347,19200,2000,5527,2.473855617875882
Apache_2k,VAE,balanced,0.4675798192892143,0.5196235350060481,0.9397053038204125,0.7775287262106767,0.10744822976458475,19200,2000,5079,2.780271707028943
Linux_2k,STACKED_AE,moderate_imbalance,0.15229376308542986,0.5569254984260231,0.8201926726351276,0.990035622260892,0.0774741239312046,19200,2000,4011,3.7868362004487657
