Source,MAML F1,Proto F1,Transfer F1,Best Method
HPC_2k,0.3124785149535923,0.3070100525288766,0.9797979797979798,Transfer
Mac_2k,0.43628180498056296,0.48432545665746546,0.9482938041638695,Transfer
Proxifier_2k,0.9744961212851122,0.38953846153846156,1.0,Transfer
Linux_2k,0.04161609363921503,0.1699486029952074,0.9060933891662435,Transfer
Windows_2k,0.37399436749309445,0.3108201240523777,0.9865910658187111,Transfer
Apache_2k,0.414691249634182,0.4152046783625731,0.993041472821981,Transfer
Hadoop_2k,0.2672582627605116,0.41627894998884063,0.9282036219874077,Transfer
Thunderbird_2k,0.4743758212877792,0.7147310122178621,0.901840068195321,Transfer
Zookeeper_2k,0.4229659549913445,0.2012779552715655,0.9658440319222762,Transfer
BGL_2k,0.4780793319415449,0.3828573570498172,0.815203899367261,Transfer
