test_source,f1_macro,balanced_acc,auroc,mcc,test_samples,support_samples
Proxifier_2k,0.9744961212851122,0.9536082474226804,1.0,0.9502347732614457,2000,15
Android_2k,0.7266817981960999,0.8744836723560128,0.9873743277998598,0.4973322709427273,2000,15
HealthApp_2k,0.6,0.9803921568627452,0.9993144110791169,0.3445992208997628,2000,15
Spark_2k,0.49874686716791977,0.4994979919678715,0.0,-0.0020050147982918934,2000,15
BGL_2k,0.4780793319415449,0.5,0.14738316177999583,0.0,2000,15
Thunderbird_2k,0.4743758212877792,0.5,0.27089423964770226,0.0,2000,15
Mac_2k,0.43628180498056296,0.4819641833367477,0.49734050000663216,-0.0781984699163294,2000,15
Zookeeper_2k,0.4229659549913445,0.49327052489905787,0.45281119240014456,-0.0591091286758008,2000,15
Apache_2k,0.414691249634182,0.49580125962211335,0.6569619306852427,-0.04911163274211976,2000,15
Windows_2k,0.37399436749309445,0.4919472477280071,0.9356334026616641,-0.07550074600896618,2000,15
HPC_2k,0.3124785149535923,0.40945945945945944,0.214026723352566,-0.2993063707843281,2000,15
Hadoop_2k,0.2672582627605116,0.5006527270715787,0.6243174023675185,0.0059497309900437894,2000,15
Linux_2k,0.04161609363921503,0.4321627112589583,0.18975910339130625,-0.30404353628074443,2000,15
