test_source,f1_macro,balanced_acc,auroc,mcc,test_samples,prototypes
Thunderbird_2k,0.7147310122178621,0.8839832374458413,0.9243440585268841,0.5257490432404476,2000,2
HealthApp_2k,0.49777058053639167,0.9288587229763701,0.995475113122172,0.17914091957522987,2000,2
Mac_2k,0.48432545665746546,0.4938446097410359,0.6099864261596349,-0.015574804142042372,2000,2
Android_2k,0.4425827147764052,0.5302392642818174,0.6235289533161874,0.015863415810119436,2000,2
Hadoop_2k,0.41627894998884063,0.4329129328465538,0.3770262197145702,-0.1283719441741232,2000,2
Apache_2k,0.4152046783625731,0.49685094471658503,0.841663613000163,-0.042499866361121186,2000,2
Spark_2k,0.39863094182194697,0.6955321285140562,0.6741967871485944,0.05140849376670762,2000,2
Proxifier_2k,0.38953846153846156,0.34468094327459087,0.47317583197447327,-0.14230482081590254,2000,2
BGL_2k,0.3828573570498172,0.39153150343106674,0.39656925816177996,-0.12221567753068283,2000,2
Windows_2k,0.3108201240523777,0.3730355665839537,0.1138987095310247,-0.34444176025052536,2000,2
HPC_2k,0.3070100525288766,0.37937038161757264,0.558384451867598,-0.3330604205212674,2000,2
Zookeeper_2k,0.2012779552715655,0.1695827725437416,0.0054909374656325295,-0.5776356777870363,2000,2
Linux_2k,0.1699486029952074,0.4830267241186846,0.36952177892880267,-0.020203913115690572,2000,2
