test_source,f1_macro,balanced_acc,auroc,mcc,test_samples,prototypes
Zookeeper_2k,0.8754456027447033,0.8935918115118537,0.9515634901100283,0.7546504931222007,2000,2
Thunderbird_2k,0.713395459395648,0.7928332978194474,0.8994275161588181,0.4582597559072626,2000,2
Apache_2k,0.6999767558783565,0.7860235624584078,0.9776091690881527,0.5206864798215977,2000,2
HPC_2k,0.6821766317220461,0.6833637007794311,0.5826146371090192,0.36518200262088124,2000,2
Mac_2k,0.5103892968508567,0.5530809375234889,0.5679686843691554,0.0879242121289979,2000,2
Spark_2k,0.4762467032984061,0.9151606425702812,0.9704442771084337,0.138557497102286,2000,2
BGL_2k,0.46094870617647543,0.4978815762112705,0.4847876377625286,-0.002560963311224696,2000,2
Proxifier_2k,0.4153756211634025,0.37335785601681554,0.3073931015054905,-0.1272196236052522,2000,2
Android_2k,0.3740274217084795,0.4613241368560517,0.487315875613748,-0.017738255740258984,2000,2
Windows_2k,0.3610679470120622,0.3598914169853365,0.453685433417092,-0.2772935513590165,2000,2
Hadoop_2k,0.32483006262964426,0.37090939263192835,0.2034915366744109,-0.2645548903596824,2000,2
HealthApp_2k,0.23862175587112608,0.20231729055258468,0.1737739384798208,-0.09462967773412731,2000,2
Linux_2k,0.2166265969580943,0.25324283896318456,0.18192270768681207,-0.23137673536189535,2000,2
