Source,MAML F1,Proto F1,Transfer F1,Best Method
Proxifier_2k,0.5080256551674137,0.5653349597431542,1.0,Transfer
Windows_2k,0.37675288251791833,0.37894373606413845,0.9858503939814172,Transfer
Zookeeper_2k,0.42627653471026966,0.773072820931763,0.937596808522493,Transfer
HPC_2k,0.35691318327974275,0.22153133580662707,0.9870014917335677,Transfer
Apache_2k,0.41673957421988916,0.9793378133815613,0.9913145976797568,Transfer
BGL_2k,0.4780793319415449,0.3397160779135028,0.9819073527226203,Transfer
Mac_2k,0.43930473787496493,0.47300007268964517,0.928328612547383,Transfer
Hadoop_2k,0.25650557620817843,0.4479508848486322,0.9626555427857943,Transfer
Thunderbird_2k,0.4743758212877792,0.6656995413045812,0.982199341940752,Transfer
Linux_2k,0.05784586117994543,0.28125454524221294,0.9494172662613165,Transfer
