Source,MAML F1,Proto F1,Transfer F1,Best Method
Apache_2k,0.219481022119456,0.6999767558783565,0.993041472821981,Transfer
Thunderbird_2k,0.09726889819174038,0.713395459395648,0.8563074476517645,Transfer
Windows_2k,0.30204713707312086,0.3610679470120622,0.9829220391085305,Transfer
Hadoop_2k,0.304979244046955,0.32483006262964426,0.9602801749674982,Transfer
Zookeeper_2k,0.4641426282051282,0.8754456027447033,0.991654297142789,Transfer
Linux_2k,0.4577660937133877,0.2166265969580943,0.9397466829029948,Transfer
HPC_2k,0.25305994350873523,0.6821766317220461,0.9754964541927831,Transfer
Mac_2k,0.3799844996124903,0.5103892968508567,0.9675508923878431,Transfer
BGL_2k,0.16894315061299364,0.46094870617647543,0.9680989583333333,Transfer
Proxifier_2k,0.22425691803804432,0.4153756211634025,1.0,Transfer
