test_source,f1_macro,balanced_acc,auroc,mcc,train_samples,test_samples
Proxifier_2k,1.0,1.0,1.0,1.0,30,1400
Apache_2k,0.993041472821981,0.996,0.99958,0.9861789997803864,30,1400
Zookeeper_2k,0.991654297142789,0.9956730769230769,0.9999038461538461,0.9834464801716977,30,1400
Windows_2k,0.9829220391085305,0.9857835983306449,0.9997119594438897,0.966235169895471,30,1400
HPC_2k,0.9754964541927831,0.9771665726721906,0.9983390866215907,0.9514833814976587,30,1400
BGL_2k,0.9680989583333333,0.9753034189164177,0.9964435865570216,0.9363551595471105,30,1400
Mac_2k,0.9675508923878431,0.9703436615311486,0.9843647992875859,0.935154228610679,30,1400
Hadoop_2k,0.9602801749674982,0.9672925260379626,0.9904653530844797,0.9216767735782848,30,1400
Linux_2k,0.9397466829029948,0.9936281859070465,0.9996933351506065,0.8860289134212468,30,1400
Thunderbird_2k,0.8563074476517645,0.9212351079672376,0.9900991250930752,0.7268883580593315,30,1400
