LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,E23,Loaded Servicing Stack <*> with Core: <*>\cbscore.dll,0,normal,Windows_2k,2016-09-28 04:30:30.000,2016-09-28 04:30:30,4,2,28,9,0,0,1,0.0,0,935
96,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],1,security_anomaly,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,1.0,1,935
95,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],0,normal,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,2,935
94,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: Unrecognized packageExtended attribute.,0,normal,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,3,935
93,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],1,security_anomaly,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,4,935
91,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: Unrecognized packageExtended attribute.,0,normal,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,5,935
90,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: Unrecognized packageExtended attribute.,0,normal,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,6,935
89,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],1,security_anomaly,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,7,935
88,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],0,normal,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,8,935
87,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: Unrecognized packageExtended attribute.,0,normal,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,9,935
86,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],1,security_anomaly,Windows_2k,2016-09-28 04:30:31.000,2016-09-28 04:30:31,4,2,28,9,0,0,1,0.0,10,935
