LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",0,normal,Spark_2k,2017-06-09 20:10:40.000,2017-06-09 20:10:40,20,4,9,6,0,0,0,0.0,0,1098
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,0,normal,Spark_2k,2017-06-09 20:10:40.000,2017-06-09 20:10:40,20,4,9,6,0,0,0,0.0,1,1098
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,0,normal,Spark_2k,2017-06-09 20:10:40.000,2017-06-09 20:10:40,20,4,9,6,0,0,0,0.0,2,1098
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",1,security_anomaly,Spark_2k,2017-06-09 20:10:40.000,2017-06-09 20:10:40,20,4,9,6,0,0,0,0.0,3,1098
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,0,normal,Spark_2k,2017-06-09 20:10:41.000,2017-06-09 20:10:41,20,4,9,6,0,0,0,1.0,4,1098
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,0,normal,Spark_2k,2017-06-09 20:10:41.000,2017-06-09 20:10:41,20,4,9,6,0,0,0,0.0,5,1098
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",1,security_anomaly,Spark_2k,2017-06-09 20:10:41.000,2017-06-09 20:10:41,20,4,9,6,0,0,0,0.0,6,1098
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,E28,Slf4jLogger started,0,normal,Spark_2k,2017-06-09 20:10:41.000,2017-06-09 20:10:41,20,4,9,6,0,0,0,0.0,7,1098
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,E31,Starting remoting,0,normal,Spark_2k,2017-06-09 20:10:41.000,2017-06-09 20:10:41,20,4,9,6,0,0,0,0.0,8,1098
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>],0,normal,Spark_2k,2017-06-09 20:10:41.000,2017-06-09 20:10:41,20,4,9,6,0,0,0,0.0,9,1098
