LineId,Time,Program,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
974,07.26 13:30:34,chrome.exe *64,www.baidu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,0,normal,Proxifier_2k,2025-07-26 13:30:34.000,2025-07-26 13:30:34,13,5,26,7,1,1,0,0.0,0,20
975,07.26 13:30:34,chrome.exe *64,c.baidu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,0,normal,Proxifier_2k,2025-07-26 13:30:34.000,2025-07-26 13:30:34,13,5,26,7,1,1,0,0.0,1,20
976,07.26 13:30:34,chrome.exe *64,sclick.baidu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,0,normal,Proxifier_2k,2025-07-26 13:30:34.000,2025-07-26 13:30:34,13,5,26,7,1,1,0,0.0,2,20
977,07.26 13:30:39,chrome.exe *64,"www.baidu.com:80 close, 6719 bytes (6.56 KB) sent, 644545 bytes (629 KB) received, lifetime 00:05",E8,"<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",0,normal,Proxifier_2k,2025-07-26 13:30:39.000,2025-07-26 13:30:39,13,5,26,7,1,1,0,5.0,3,20
978,07.26 13:30:43,chrome.exe *64,timg.baidu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,0,normal,Proxifier_2k,2025-07-26 13:30:43.000,2025-07-26 13:30:43,13,5,26,7,1,1,0,4.0,4,20
979,07.26 13:30:44,SogouCloud.exe,"get.sogou.com:80 close, 899 bytes sent, 348 bytes received, lifetime 00:03",E8,"<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",0,normal,Proxifier_2k,2025-07-26 13:30:44.000,2025-07-26 13:30:44,13,5,26,7,1,1,0,1.0,5,20
983,07.26 13:30:45,chrome.exe *64,"ss.bdimg.com:80 close, 0 bytes sent, 0 bytes received, lifetime 00:11",E8,"<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",0,normal,Proxifier_2k,2025-07-26 13:30:45.000,2025-07-26 13:30:45,13,5,26,7,1,1,0,1.0,6,20
980,07.26 13:30:45,chrome.exe *64,"ss.bdimg.com:80 close, 0 bytes sent, 0 bytes received, lifetime 00:11",E8,"<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",0,normal,Proxifier_2k,2025-07-26 13:30:45.000,2025-07-26 13:30:45,13,5,26,7,1,1,0,0.0,7,20
981,07.26 13:30:45,chrome.exe *64,"t11.baidu.com:80 close, 0 bytes sent, 0 bytes received, lifetime 00:11",E8,"<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",0,normal,Proxifier_2k,2025-07-26 13:30:45.000,2025-07-26 13:30:45,13,5,26,7,1,1,0,0.0,8,20
982,07.26 13:30:45,chrome.exe *64,"sestat.baidu.com:80 close, 0 bytes sent, 0 bytes received, lifetime 00:11",E8,"<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",0,normal,Proxifier_2k,2025-07-26 13:30:45.000,2025-07-26 13:30:45,13,5,26,7,1,1,0,0.0,9,20
